"id","string"
"1","ALTNKYIN"
"2","ALTNKYIL"
"3","ALTNKYMO"
"4","ALTNKYVA"
"5","ALTNKYWV"
"6","ALTNKYOH"
"7","ALTNMOIA"
"8","ALTNMONE"
"9","ALTNMOKS"
"10","ALTNMOOK"
"11","ALTNMOAR"
"12","ALTNMOKY"
"13","ALTNMOIL"
"14","ALTNARMO"
"15","ALTNAROK"
"16","ALTNARTX"
"17","ALTNARLA"
"18","ALTNARMS"
"19","ALTNMSAR"
"20","ALTNMSLA"
"21","ALTNGANC"
"22","ALTNGAFL"
"23","ALTNGASC"
"24","ALTNNCVA"
"25","ALTNNCGA"
"26","ALTNNCSC"
"27","ALTNVAMD"
"28","ALTNVAWV"
"29","ALTNVAKY"
"30","ALTNVANC"
"31","ALMSTNKY"
"32","ALMSTNMO"
"33","ALMSTNAR"
"34","ALMSTNGA"
"35","ALMSTNNC"
"36","ALMSTNVA"
"37","ALMSARMO"
"38","ALMSAROK"
"39","ALMSARTX"
"40","ALMSARLA"
"41","ALMSARTN"
"42","ALMSLAAR"
"43","ALMSLATX"
"44","ALFLGANC"
"45","ALFLGATN"
"46","ALFLGASC"
"47","ALGANCVA"
"48","ALGANCTN"
"49","ALGANCSC"
"50","ALGATNKY"
"51","ALGATNMO"
"52","ALGATNAR"
"53","ALGATNMS"
"54","ALGATNNC"
"55","ALGATNVA"
"56","ALGASCNC"
"57","ARMOIAMN"
"58","ARMOIASD"
"59","ARMOIANE"
"60","ARMOIAIL"
"61","ARMOIAWI"
"62","ARMONESD"
"63","ARMONEWY"
"64","ARMONECO"
"65","ARMONESD"
"66","ARMONEIA"
"67","ARMOKSNE"
"68","ARMOKSCO"
"69","ARMOKSOK"
"70","ARMOOKKS"
"71","ARMOOKCO"
"72","ARMOOKNM"
"73","ARMOOKTX"
"74","ARMOTNKY"
"75","ARMOTNMS"
"76","ARMOTNAL"
"77","ARMOTNGA"
"78","ARMOTNNC"
"79","ARMOTNVA"
"80","ARMOKYIN"
"81","ARMOKYIL"
"82","ARMOKYTN"
"83","ARMOKYVA"
"84","ARMOKYWV"
"85","ARMOKYOH"
"86","ARMOILWI"
"87","ARMOILIA"
"88","ARMOILKY"
"89","ARMOILIN"
"90","AROKKSNE"
"91","AROKKSCO"
"92","AROKKSMO"
"93","AROKCOWY"
"94","AROKCOUT"
"95","AROKCONM"
"96","AROKCOKS"
"97","AROKCONE"
"98","AROKNMCO"
"99","AROKNMAZ"
"100","AROKNMTX"
"101","AROKTXNM"
"102","AROKTXLA"
"103","AROKMOIA"
"104","AROKMONE"
"105","AROKMOKS"
"106","AROKMOTN"
"107","AROKMOKY"
"108","AROKMOIL"
"109","ARTXOKKS"
"110","ARTXOKCO"
"111","ARTXOKNM"
"112","ARTXOKMO"
"113","ARTXNMCO"
"114","ARTXNMAZ"
"115","ARTXNMOK"
"116","ARTXLAMS"
"117","ARLATXOK"
"118","ARLATXNM"
"119","ARLAMSTN"
"120","ARLAMSAL"
"121","ARMSTNKY"
"122","ARMSTNMO"
"123","ARMSTNAL"
"124","ARMSTNGA"
"125","ARMSTNNC"
"126","ARMSTNVA"
"127","ARMSLATX"
"128","ARMSALTN"
"129","ARMSALFL"
"130","ARMSALGA"
"131","ARTNKYIN"
"132","ARTNKYIL"
"133","ARTNKYMO"
"134","ARTNKYVA"
"135","ARTNKYWV"
"136","ARTNKYOH"
"137","ARTNMOIA"
"138","ARTNMONE"
"139","ARTNMOKS"
"140","ARTNMOOK"
"141","ARTNMOKY"
"142","ARTNMOIL"
"143","ARTNMSLA"
"144","ARTNMSAL"
"145","ARTNALMS"
"146","ARTNALFL"
"147","ARTNALGA"
"148","ARTNGANC"
"149","ARTNGAAL"
"150","ARTNGAFL"
"151","ARTNGASC"
"152","ARTNNCVA"
"153","ARTNNCGA"
"154","ARTNNCSC"
"155","ARTNVAMD"
"156","ARTNVAWV"
"157","ARTNVAKY"
"158","ARTNVANC"
"159","AZUTIDWA"
"160","AZUTIDOR"
"161","AZUTIDNV"
"162","AZUTIDMT"
"163","AZUTIDWY"
"164","AZUTNVOR"
"165","AZUTNVCA"
"166","AZUTNVID"
"167","AZUTCOWY"
"168","AZUTCONM"
"169","AZUTCOOK"
"170","AZUTCOKS"
"171","AZUTCONE"
"172","AZUTWYMT"
"173","AZUTWYID"
"174","AZUTWYCO"
"175","AZUTWYNE"
"176","AZUTWYSD"
"177","AZNVORID"
"178","AZNVORCA"
"179","AZNVORWA"
"180","AZNVCAOR"
"181","AZNVUTID"
"182","AZNVUTCO"
"183","AZNVUTWY"
"184","AZNVIDWA"
"185","AZNVIDOR"
"186","AZNVIDUT"
"187","AZNVIDMT"
"188","AZNVIDWY"
"189","AZCAORID"
"190","AZCAORNV"
"191","AZCAORWA"
"192","AZCANVOR"
"193","AZCANVUT"
"194","AZCANVID"
"195","AZNMCOWY"
"196","AZNMCOUT"
"197","AZNMCOOK"
"198","AZNMCOKS"
"199","AZNMCONE"
"200","AZNMTXOK"
"201","AZNMTXLA"
"202","AZNMTXAR"
"203","AZNMOKKS"
"204","AZNMOKCO"
"205","AZNMOKTX"
"206","AZNMOKAR"
"207","AZNMOKMO"
"208","CAORIDWA"
"209","CAORIDNV"
"210","CAORIDUT"
"211","CAORIDMT"
"212","CAORIDWY"
"213","CAORNVAZ"
"214","CAORNVUT"
"215","CAORNVID"
"216","CAORWAID"
"217","CANVORID"
"218","CANVORWA"
"219","CANVAZUT"
"220","CANVAZNM"
"221","CANVUTID"
"222","CANVUTAZ"
"223","CANVUTCO"
"224","CANVUTWY"
"225","CANVIDWA"
"226","CANVIDOR"
"227","CANVIDUT"
"228","CANVIDMT"
"229","CANVIDWY"
"230","CAAZUTID"
"231","CAAZUTNV"
"232","CAAZUTCO"
"233","CAAZUTWY"
"234","CAAZNVOR"
"235","CAAZNVUT"
"236","CAAZNVID"
"237","CAAZNMCO"
"238","CAAZNMTX"
